a.bookid,bigram,bigram_count
7,have_jon,1722
4,cloth_you,1056
4,cloth_are,1056
7,your_not,870
7,what_not,870
5,but_women,812
7,book_your,812
7,will_what,812
7,will_your,812
7,book_what,812
6,did_not,756
6,like_did,702
6,they_did,702
7,my_matter,650
7,very_some,650
7,very_matter,650
7,my_some,650
7,other_very,600
7,other_my,600
6,are_me,552
6,ship_are,506
6,but_ship,462
6,any_ship,462
5,been_when,420
6,were_but,420
6,were_any,420
5,them_when,420
7,her_reader,420
7,her_sophia,420
5,only_when,420
4,coat_we,420
6,nor_but,420
6,nor_any,420
6,we_nor,380
7,iv_her,380
7,vi_her,380
6,term_nor,380
7,short_her,380
7,who_her,380
7,ii_her,380
7,iii_her,380
5,has_only,380
7,between_her,380
5,has_been,380
5,has_them,380
7,vii_her,380
7,mrs_her,380
6,we_were,380
6,term_were,380
7,ix_who,342
7,are_mrs,342
7,are_iv,342
7,are_iii,342
7,are_ii,342
7,are_between,342
7,are_short,342
7,are_vi,342
5,if_has,342
7,are_vii,342
7,are_who,342
7,ix_vii,342
7,ix_between,342
7,ix_ii,342
7,ix_iii,342
6,us_term,342
7,ix_iv,342
6,if_we,342
5,had_has,342
6,if_term,342
7,ix_mrs,342
7,ix_short,342
7,ix_vi,342
7,viii_who,342
7,viii_vii,342
7,viii_vi,342
7,viii_short,342
7,viii_mrs,342
7,viii_iv,342
7,viii_iii,342
7,viii_ii,342
7,viii_between,342
6,mariner_we,342
6,mariner_term,342
6,no_we,342
6,no_term,342
1,him_had,342
6,us_we,342
7,two_viii,306
6,had_us,306
6,had_no,306
6,had_mariner,306
6,sea_us,306
6,sea_no,306
6,sea_mariner,306
6,sea_if,306
6,had_if,306
5,woman_had,306
5,woman_if,306
6,one_us,306
6,one_no,306
6,one_mariner,306
6,one_if,306
4,mother_your,306
6,electronic_us,306
6,electronic_no,306
6,electronic_mariner,306
6,electronic_if,306
7,but_viii,306
7,but_ix,306
7,but_are,306
7,two_ix,306
7,two_are,306
5,you_had,306
5,you_if,306
5,reason_if,306
5,reason_had,306
6,copy_if,306
6,copy_mariner,306
6,copy_no,306
6,copy_us,306
5,men_if,306
5,men_had,306
6,license_had,272
6,license_electronic,272
5,what_woman,272
5,what_you,272
6,came_copy,272
6,license_copy,272
6,came_electronic,272
6,came_had,272
6,came_one,272
6,came_sea,272
4,not_mother,272
7,more_but,272
6,their_copy,272
4,children_mother,272
7,more_two,272
6,their_one,272
6,their_had,272
6,their_electronic,272
5,what_men,272
5,what_reason,272
6,their_sea,272
6,license_sea,272
6,license_one,272
5,respect_what,240
5,sex_what,240
6,ebook_their,240
6,ebook_license,240
6,ebook_came,240
6,now_came,240
6,now_license,240
6,now_their,240
4,they_children,240
4,they_not,240
6,do_came,240
6,do_license,240
6,do_their,240
4,little_children,240
7,been_more,240
4,little_not,240
7,their_more,240
1,who_me,210
1,who_my,210
7,all_been,210
7,all_their,210
6,copyright_do,210
6,copyright_ebook,210
6,copyright_now,210
6,part_do,210
6,part_ebook,210
6,part_now,210
1,have_me,210
1,have_mossetse,210
1,have_my,210
5,manner_respect,210
5,manner_sex,210
6,so_do,210
6,so_ebook,210
6,so_now,210
1,her_me,210
1,her_mossetse,210
1,her_my,210
1,who_mossetse,210
5,those_respect,210
5,those_sex,210
5,right_respect,210
5,right_sex,210
5,were_respect,210
5,were_sex,210
5,who_respect,210
5,who_sex,210
6,man_so,182
7,concern_all,182
6,man_part,182
6,man_copyright,182
1,they_have,182
1,they_her,182
1,they_who,182
6,there_copyright,182
6,there_part,182
6,there_so,182
6,still_so,182
6,still_part,182
5,consider_those,182
6,still_copyright,182
5,society_were,182
5,society_those,182
5,society_right,182
5,consider_right,182
5,consider_manner,182
5,society_who,182
6,sail_copyright,182
6,sail_part,182
6,stat_so,182
6,stat_part,182
6,stat_copyright,182
5,consider_who,182
5,consider_were,182
5,society_manner,182
6,sail_so,182
6,unit_so,182
6,unit_part,182
6,unit_copyright,182
5,duty_society,156
6,other_man,156
6,other_sail,156
6,other_stat,156
6,other_still,156
6,other_there,156
6,other_unit,156
6,may_man,156
6,may_sail,156
6,may_stat,156
6,may_still,156
6,may_there,156
6,may_unit,156
7,great_concern,156
6,full_there,156
6,full_unit,156
4,make_garment,156
4,make_its,156
4,make_shall,156
4,make_their,156
4,make_them,156
5,some_society,156
5,some_consider,156
7,than_concern,156
7,them_concern,156
5,human_consider,156
5,human_society,156
6,look_man,156
6,look_sail,156
6,look_stat,156
6,look_still,156
6,look_there,156
6,look_unit,156
6,down_man,156
6,down_sail,156
6,down_stat,156
6,down_still,156
6,down_there,156
6,down_unit,156
4,him_garment,156
4,him_its,156
4,him_shall,156
4,him_their,156
4,him_them,156
4,which_garment,156
4,which_its,156
4,which_shall,156
4,which_their,156
4,which_them,156
6,full_man,156
6,full_sail,156
6,full_stat,156
6,full_still,156
6,sun_man,156
6,sun_sail,156
6,sun_stat,156
6,sun_still,156
6,sun_there,156
6,sun_unit,156
5,duty_consider,156
6,heard_man,156
6,heard_sail,156
6,heard_stat,156
6,heard_still,156
6,heard_there,156
6,heard_unit,156
5,me_some,132
6,ancient_heard,132
7,allworthy_them,132
6,ancient_down,132
6,upon_down,132
6,upon_full,132
6,upon_heard,132
6,upon_look,132
6,where_sun,132
5,can_human,132
5,can_some,132
6,ancient_look,132
6,upon_may,132
6,upon_other,132
6,her_sun,132
6,moon_sun,132
6,up_look,132
6,moon_other,132
6,up_heard,132
6,moon_may,132
6,her_other,132
6,up_full,132
6,up_down,132
6,ancient_may,132
6,up_may,132
5,must_some,132
6,her_heard,132
6,her_full,132
